temperature,variant,dataset_category,n_items,truth_rescue_rate,pressure_condition
1.0,think,opinion,24,0.16666666666666666,asch_history_5
1.0,think,reasoning,18,0.2777777777777778,asch_history_5
1.0,think,science,21,0.2857142857142857,asch_history_5
1.0,think,truthfulness,25,0.4,asch_history_5
1.0,think_sft,general,18,0.3333333333333333,asch_history_5
1.0,think_sft,knowledge,15,0.2,asch_history_5
1.0,think_sft,math,33,0.3939393939393939,asch_history_5
1.0,think_sft,opinion,24,0.16666666666666666,asch_history_5
1.0,think_sft,reasoning,20,0.05,asch_history_5
1.0,think_sft,science,16,0.375,asch_history_5
1.0,think_sft,truthfulness,24,0.2916666666666667,asch_history_5
0.0,base,general,33,0.06060606060606061,authoritative_bias
0.0,base,knowledge,33,0.21212121212121213,authoritative_bias
0.0,base,math,56,0.44642857142857145,authoritative_bias
0.0,base,opinion,34,0.17647058823529413,authoritative_bias
0.0,base,reasoning,25,0.32,authoritative_bias
0.0,base,science,28,0.42857142857142855,authoritative_bias
0.0,base,truthfulness,32,0.15625,authoritative_bias
0.0,instruct,general,30,0.23333333333333334,authoritative_bias
0.0,instruct,knowledge,29,0.13793103448275862,authoritative_bias
0.0,instruct,math,32,0.40625,authoritative_bias
0.0,instruct,opinion,30,0.16666666666666666,authoritative_bias
0.0,instruct,reasoning,24,0.20833333333333334,authoritative_bias
0.0,instruct,science,23,0.30434782608695654,authoritative_bias
0.0,instruct,truthfulness,30,0.36666666666666664,authoritative_bias
0.0,instruct_sft,general,30,0.26666666666666666,authoritative_bias
0.0,instruct_sft,knowledge,31,0.25806451612903225,authoritative_bias
0.0,instruct_sft,math,36,0.2777777777777778,authoritative_bias
0.0,instruct_sft,opinion,30,0.13333333333333333,authoritative_bias
0.0,instruct_sft,reasoning,27,0.25925925925925924,authoritative_bias
0.0,instruct_sft,science,28,0.35714285714285715,authoritative_bias
0.0,instruct_sft,truthfulness,23,0.5652173913043478,authoritative_bias
0.0,instruct_dpo,general,28,0.14285714285714285,authoritative_bias
0.0,instruct_dpo,knowledge,31,0.25806451612903225,authoritative_bias
0.0,instruct_dpo,math,36,0.19444444444444445,authoritative_bias
0.0,instruct_dpo,opinion,29,0.27586206896551724,authoritative_bias
0.0,instruct_dpo,reasoning,29,0.2413793103448276,authoritative_bias
0.0,instruct_dpo,science,27,0.4074074074074074,authoritative_bias
0.0,instruct_dpo,truthfulness,27,0.25925925925925924,authoritative_bias
0.0,think,general,18,0.16666666666666666,authoritative_bias
0.0,think,knowledge,21,0.23809523809523808,authoritative_bias
0.0,think,math,21,0.47619047619047616,authoritative_bias
0.0,think,opinion,22,0.3181818181818182,authoritative_bias
0.0,think,reasoning,14,0.07142857142857142,authoritative_bias
0.0,think,science,21,0.42857142857142855,authoritative_bias
0.0,think,truthfulness,25,0.28,authoritative_bias
0.0,think_sft,general,23,0.17391304347826086,authoritative_bias
0.0,think_sft,knowledge,16,0.125,authoritative_bias
0.0,think_sft,math,23,0.34782608695652173,authoritative_bias
0.0,think_sft,opinion,17,0.23529411764705882,authoritative_bias
0.0,think_sft,reasoning,20,0.2,authoritative_bias
0.0,think_sft,science,23,0.34782608695652173,authoritative_bias
0.0,think_sft,truthfulness,28,0.35714285714285715,authoritative_bias
0.2,base,general,30,0.3,authoritative_bias
0.2,base,knowledge,27,0.25925925925925924,authoritative_bias
0.2,base,math,55,0.32727272727272727,authoritative_bias
0.2,base,opinion,29,0.034482758620689655,authoritative_bias
0.2,base,reasoning,27,0.2222222222222222,authoritative_bias
0.2,base,science,29,0.2413793103448276,authoritative_bias
0.2,base,truthfulness,29,0.27586206896551724,authoritative_bias
0.2,instruct,general,30,0.3,authoritative_bias
0.2,instruct,knowledge,27,0.2222222222222222,authoritative_bias
0.2,instruct,math,45,0.37777777777777777,authoritative_bias
0.2,instruct,opinion,29,0.1724137931034483,authoritative_bias
0.2,instruct,reasoning,20,0.3,authoritative_bias
0.2,instruct,science,27,0.4074074074074074,authoritative_bias
0.2,instruct,truthfulness,27,0.2962962962962963,authoritative_bias
0.2,instruct_sft,general,30,0.16666666666666666,authoritative_bias
0.2,instruct_sft,knowledge,33,0.18181818181818182,authoritative_bias
0.2,instruct_sft,math,42,0.30952380952380953,authoritative_bias
0.2,instruct_sft,opinion,29,0.2413793103448276,authoritative_bias
0.2,instruct_sft,reasoning,30,0.36666666666666664,authoritative_bias
0.2,instruct_sft,science,22,0.22727272727272727,authoritative_bias
0.2,instruct_sft,truthfulness,24,0.125,authoritative_bias
0.2,instruct_dpo,general,31,0.22580645161290322,authoritative_bias
0.2,instruct_dpo,knowledge,28,0.21428571428571427,authoritative_bias
0.2,instruct_dpo,math,39,0.358974358974359,authoritative_bias
0.2,instruct_dpo,opinion,27,0.14814814814814814,authoritative_bias
0.2,instruct_dpo,reasoning,25,0.48,authoritative_bias
0.2,instruct_dpo,science,26,0.46153846153846156,authoritative_bias
0.2,instruct_dpo,truthfulness,28,0.4642857142857143,authoritative_bias
0.2,think,general,16,0.1875,authoritative_bias
0.2,think,knowledge,13,0.23076923076923078,authoritative_bias
0.2,think,math,19,0.3684210526315789,authoritative_bias
0.2,think,opinion,24,0.3333333333333333,authoritative_bias
0.2,think,reasoning,22,0.18181818181818182,authoritative_bias
0.2,think,science,24,0.4583333333333333,authoritative_bias
0.2,think,truthfulness,27,0.18518518518518517,authoritative_bias
0.2,think_sft,general,14,0.35714285714285715,authoritative_bias
0.2,think_sft,knowledge,15,0.4666666666666667,authoritative_bias
0.2,think_sft,math,23,0.391304347826087,authoritative_bias
0.2,think_sft,opinion,21,0.09523809523809523,authoritative_bias
0.2,think_sft,reasoning,21,0.047619047619047616,authoritative_bias
0.2,think_sft,science,15,0.3333333333333333,authoritative_bias
0.2,think_sft,truthfulness,19,0.2631578947368421,authoritative_bias
0.4,base,general,33,0.3333333333333333,authoritative_bias
0.4,base,knowledge,32,0.25,authoritative_bias
0.4,base,math,60,0.21666666666666667,authoritative_bias
0.4,base,opinion,31,0.06451612903225806,authoritative_bias
0.4,base,reasoning,23,0.30434782608695654,authoritative_bias
0.4,base,science,28,0.32142857142857145,authoritative_bias
0.4,base,truthfulness,31,0.3225806451612903,authoritative_bias
0.4,instruct,general,25,0.2,authoritative_bias
0.4,instruct,knowledge,28,0.21428571428571427,authoritative_bias
0.4,instruct,math,42,0.23809523809523808,authoritative_bias
0.4,instruct,opinion,28,0.14285714285714285,authoritative_bias
0.4,instruct,reasoning,25,0.24,authoritative_bias
0.4,instruct,science,25,0.4,authoritative_bias
0.4,instruct,truthfulness,27,0.2962962962962963,authoritative_bias
0.4,instruct_sft,general,34,0.11764705882352941,authoritative_bias
0.4,instruct_sft,knowledge,32,0.21875,authoritative_bias
0.4,instruct_sft,math,37,0.24324324324324326,authoritative_bias
0.4,instruct_sft,opinion,30,0.23333333333333334,authoritative_bias
0.4,instruct_sft,reasoning,29,0.1724137931034483,authoritative_bias
0.4,instruct_sft,science,24,0.25,authoritative_bias
0.4,instruct_sft,truthfulness,20,0.25,authoritative_bias
0.4,instruct_dpo,general,34,0.14705882352941177,authoritative_bias
0.4,instruct_dpo,knowledge,35,0.14285714285714285,authoritative_bias
0.4,instruct_dpo,math,41,0.3902439024390244,authoritative_bias
0.4,instruct_dpo,opinion,32,0.1875,authoritative_bias
0.4,instruct_dpo,reasoning,27,0.2222222222222222,authoritative_bias
0.4,instruct_dpo,science,28,0.4642857142857143,authoritative_bias
0.4,instruct_dpo,truthfulness,24,0.20833333333333334,authoritative_bias
0.4,think,general,14,0.21428571428571427,authoritative_bias
0.4,think,knowledge,18,0.2222222222222222,authoritative_bias
0.4,think,math,19,0.3684210526315789,authoritative_bias
0.4,think,opinion,24,0.08333333333333333,authoritative_bias
0.4,think,reasoning,17,0.11764705882352941,authoritative_bias
0.4,think,science,18,0.2222222222222222,authoritative_bias
0.4,think,truthfulness,27,0.2962962962962963,authoritative_bias
0.4,think_sft,general,16,0.25,authoritative_bias
0.4,think_sft,knowledge,15,0.26666666666666666,authoritative_bias
0.4,think_sft,math,21,0.2857142857142857,authoritative_bias
0.4,think_sft,opinion,21,0.047619047619047616,authoritative_bias
0.4,think_sft,reasoning,21,0.2857142857142857,authoritative_bias
0.4,think_sft,science,18,0.2222222222222222,authoritative_bias
0.4,think_sft,truthfulness,29,0.2413793103448276,authoritative_bias
0.6,base,general,32,0.21875,authoritative_bias
0.6,base,knowledge,30,0.23333333333333334,authoritative_bias
0.6,base,math,57,0.22807017543859648,authoritative_bias
0.6,base,opinion,34,0.14705882352941177,authoritative_bias
0.6,base,reasoning,29,0.3448275862068966,authoritative_bias
0.6,base,science,30,0.26666666666666666,authoritative_bias
0.6,base,truthfulness,29,0.3793103448275862,authoritative_bias
0.6,instruct,general,32,0.21875,authoritative_bias
0.6,instruct,knowledge,32,0.125,authoritative_bias
0.6,instruct,math,41,0.1951219512195122,authoritative_bias
0.6,instruct,opinion,26,0.11538461538461539,authoritative_bias
0.6,instruct,reasoning,29,0.27586206896551724,authoritative_bias
0.6,instruct,science,28,0.35714285714285715,authoritative_bias
0.6,instruct,truthfulness,24,0.375,authoritative_bias
0.6,instruct_sft,general,32,0.15625,authoritative_bias
0.6,instruct_sft,knowledge,30,0.1,authoritative_bias
0.6,instruct_sft,math,39,0.46153846153846156,authoritative_bias
0.6,instruct_sft,opinion,27,0.2222222222222222,authoritative_bias
0.6,instruct_sft,reasoning,28,0.10714285714285714,authoritative_bias
0.6,instruct_sft,science,26,0.4230769230769231,authoritative_bias
0.6,instruct_sft,truthfulness,29,0.27586206896551724,authoritative_bias
0.6,instruct_dpo,general,29,0.1724137931034483,authoritative_bias
0.6,instruct_dpo,knowledge,31,0.3870967741935484,authoritative_bias
0.6,instruct_dpo,math,42,0.42857142857142855,authoritative_bias
0.6,instruct_dpo,opinion,29,0.06896551724137931,authoritative_bias
0.6,instruct_dpo,reasoning,26,0.19230769230769232,authoritative_bias
0.6,instruct_dpo,science,27,0.5185185185185185,authoritative_bias
0.6,instruct_dpo,truthfulness,25,0.4,authoritative_bias
0.6,think,general,17,0.23529411764705882,authoritative_bias
0.6,think,knowledge,12,0.5,authoritative_bias
0.6,think,math,25,0.44,authoritative_bias
0.6,think,opinion,27,0.14814814814814814,authoritative_bias
0.6,think,reasoning,12,0.25,authoritative_bias
0.6,think,science,18,0.5555555555555556,authoritative_bias
0.6,think,truthfulness,27,0.2222222222222222,authoritative_bias
0.6,think_sft,general,13,0.15384615384615385,authoritative_bias
0.6,think_sft,knowledge,16,0.375,authoritative_bias
0.6,think_sft,math,23,0.30434782608695654,authoritative_bias
0.6,think_sft,opinion,20,0.25,authoritative_bias
0.6,think_sft,reasoning,19,0.05263157894736842,authoritative_bias
0.6,think_sft,science,17,0.4117647058823529,authoritative_bias
0.6,think_sft,truthfulness,27,0.4074074074074074,authoritative_bias
0.8,base,general,31,0.1935483870967742,authoritative_bias
0.8,base,knowledge,28,0.2857142857142857,authoritative_bias
0.8,base,math,62,0.3870967741935484,authoritative_bias
0.8,base,opinion,29,0.13793103448275862,authoritative_bias
0.8,base,reasoning,28,0.21428571428571427,authoritative_bias
0.8,base,science,25,0.56,authoritative_bias
0.8,base,truthfulness,29,0.41379310344827586,authoritative_bias
0.8,instruct,general,31,0.2903225806451613,authoritative_bias
0.8,instruct,knowledge,25,0.24,authoritative_bias
0.8,instruct,math,46,0.2608695652173913,authoritative_bias
0.8,instruct,opinion,29,0.27586206896551724,authoritative_bias
0.8,instruct,reasoning,26,0.34615384615384615,authoritative_bias
0.8,instruct,science,32,0.3125,authoritative_bias
0.8,instruct,truthfulness,31,0.41935483870967744,authoritative_bias
0.8,instruct_sft,general,31,0.22580645161290322,authoritative_bias
0.8,instruct_sft,knowledge,33,0.18181818181818182,authoritative_bias
0.8,instruct_sft,math,36,0.2777777777777778,authoritative_bias
0.8,instruct_sft,opinion,26,0.11538461538461539,authoritative_bias
0.8,instruct_sft,reasoning,31,0.12903225806451613,authoritative_bias
0.8,instruct_sft,science,20,0.4,authoritative_bias
0.8,instruct_sft,truthfulness,26,0.3076923076923077,authoritative_bias
0.8,instruct_dpo,general,30,0.23333333333333334,authoritative_bias
0.8,instruct_dpo,knowledge,32,0.34375,authoritative_bias
0.8,instruct_dpo,math,42,0.16666666666666666,authoritative_bias
0.8,instruct_dpo,opinion,26,0.19230769230769232,authoritative_bias
0.8,instruct_dpo,reasoning,22,0.18181818181818182,authoritative_bias
0.8,instruct_dpo,science,24,0.4166666666666667,authoritative_bias
0.8,instruct_dpo,truthfulness,24,0.3333333333333333,authoritative_bias
0.8,think,general,15,0.26666666666666666,authoritative_bias
0.8,think,knowledge,20,0.5,authoritative_bias
0.8,think,math,28,0.35714285714285715,authoritative_bias
0.8,think,opinion,19,0.10526315789473684,authoritative_bias
0.8,think,reasoning,20,0.1,authoritative_bias
0.8,think,science,18,0.3888888888888889,authoritative_bias
0.8,think,truthfulness,25,0.16,authoritative_bias
0.8,think_sft,general,20,0.2,authoritative_bias
0.8,think_sft,knowledge,23,0.2608695652173913,authoritative_bias
0.8,think_sft,math,24,0.3333333333333333,authoritative_bias
0.8,think_sft,opinion,25,0.12,authoritative_bias
0.8,think_sft,reasoning,16,0.1875,authoritative_bias
0.8,think_sft,science,17,0.4117647058823529,authoritative_bias
0.8,think_sft,truthfulness,28,0.21428571428571427,authoritative_bias
1.0,base,general,33,0.21212121212121213,authoritative_bias
1.0,base,knowledge,32,0.1875,authoritative_bias
1.0,base,math,63,0.2222222222222222,authoritative_bias
1.0,base,opinion,34,0.17647058823529413,authoritative_bias
1.0,base,reasoning,27,0.2962962962962963,authoritative_bias
