variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,er_p,er_lo,er_hi,rr_p,rr_lo,rr_hi,ber_control,conformity_effect
base,0.0,authority_zhu_unbiased_trust_da,58.0,173.0,23.0,146.0,400.0,400.0,0.4325,0.855,shared,base,0.4325,0.38481788076603707,0.48146632571491976,0.145,0.1138699785258184,0.18288399629995486,0.0575,0.038617261729224514,0.08480142520149289,0.0525,0.38
base,0.0,control,99.0,21.0,3.0,277.0,400.0,400.0,0.0525,0.7525,shared,base,0.0525,0.03459126500804263,0.07892254832867157,0.2475,0.2077422550606482,0.2920616284421905,0.0075,0.0025538429629852373,0.02181610802770022,0.0525,0.0
base,0.2,asch_history_5,78.0,228.0,0.0,94.0,400.0,400.0,0.57,0.8049999999999999,shared,base,0.57,0.521043416119755,0.6176248141962897,0.195,0.15915003771249597,0.23665267305330928,0.0,0.0,0.009512640599680667,0.08,0.48999999999999994
base,0.2,asch_zhu_unbiased_da,28.0,212.0,80.0,80.0,400.0,400.0,0.53,0.9299999999999999,shared,base,0.53,0.48103525950149856,0.5783939820625206,0.07,0.048871304519740505,0.0993095663959849,0.2,0.16373644787133712,0.24197113648847135,0.08,0.45
base,0.2,asch_zhu_unbiased_diverse_plain,48.0,97.0,120.0,135.0,400.0,400.0,0.2425,0.88,shared,base,0.2425,0.2030757339434459,0.28682327596538965,0.12,0.09171493428788872,0.1555146725678686,0.3,0.2571669255289339,0.34663813071093835,0.08,0.16249999999999998
base,0.2,asch_zhu_unbiased_qd,56.0,173.0,97.0,74.0,400.0,400.0,0.4325,0.86,shared,base,0.4325,0.38481788076603707,0.48146632571491976,0.14,0.10940912065943276,0.17743998057233734,0.2425,0.2030757339434459,0.28682327596538965,0.08,0.3525
base,0.2,asch_zhu_unbiased_unanimous_confident,24.0,202.0,56.0,118.0,400.0,400.0,0.505,0.94,shared,base,0.505,0.4561884685810796,0.5537164050129236,0.06,0.0406476805246611,0.0877234432030579,0.14,0.10940912065943276,0.17743998057233734,0.08,0.425
base,0.2,asch_zhu_unbiased_unanimous_neutral,32.0,217.0,76.0,75.0,400.0,400.0,0.5425,0.92,shared,base,0.5425,0.49350413540767263,0.5906872901413545,0.08,0.057235397942962354,0.11075522016076943,0.19,0.15457325560638852,0.23132458156541352,0.08,0.46249999999999997
base,0.2,asch_zhu_unbiased_unanimous_plain,31.0,258.0,57.0,54.0,400.0,400.0,0.645,0.9225,shared,base,0.645,0.5969295604595849,0.6903117737665078,0.0775,0.05513258958646752,0.10790559172026265,0.1425,0.11163780858819913,0.18016372944057255,0.08,0.5650000000000001
base,0.2,asch_zhu_unbiased_unanimous_uncertain,14.0,265.0,23.0,98.0,400.0,400.0,0.6625,0.965,shared,base,0.6625,0.6148092449935679,0.7070991468115359,0.035,0.0209610999014911,0.05788565585621193,0.0575,0.038617261729224514,0.08480142520149289,0.08,0.5825
base,0.2,authoritative_bias,79.0,202.0,1.0,118.0,400.0,400.0,0.505,0.8025,shared,base,0.505,0.4561884685810796,0.5537164050129236,0.1975,0.16144205642368673,0.2393130911391201,0.0025,0.00044143642943440895,0.014023640967247855,0.08,0.425
base,0.2,authority_zhu_unbiased_trust,89.0,149.0,32.0,130.0,400.0,400.0,0.3725,0.7775,shared,base,0.3725,0.32654304802813294,0.4208826753247856,0.2225,0.18448762755400633,0.2657918879788165,0.08,0.057235397942962354,0.11075522016076943,0.08,0.2925
base,0.2,authority_zhu_unbiased_trust_da,68.0,149.0,31.0,152.0,400.0,400.0,0.3725,0.83,shared,base,0.3725,0.32654304802813294,0.4208826753247856,0.17,0.13636842234813634,0.20990992044765294,0.0775,0.05513258958646752,0.10790559172026265,0.08,0.2925
base,0.2,control,121.0,32.0,11.0,236.0,400.0,400.0,0.08,0.6975,shared,base,0.08,0.057235397942962354,0.11075522016076943,0.3025,0.25953861492842695,0.34921887810844693,0.0275,0.015423476078524151,0.04856596928817408,0.08,0.0
base,0.4,asch_history_5,76.0,224.0,0.0,100.0,400.0,400.0,0.56,0.81,shared,base,0.56,0.511011885079453,0.6078465980485853,0.19,0.15457325560638852,0.23132458156541352,0.0,0.0,0.009512640599680667,0.0625,0.49750000000000005
base,0.4,asch_zhu_unbiased_da,33.0,199.0,52.0,116.0,400.0,400.0,0.4975,0.9175,shared,base,0.4975,0.44875800198627125,0.5462895612167272,0.0825,0.059345516507342,0.11359753839339136,0.13,0.10053077315766948,0.16650858088609424,0.0625,0.435
base,0.4,asch_zhu_unbiased_diverse_plain,46.0,82.0,89.0,183.0,400.0,400.0,0.205,0.885,shared,base,0.205,0.1683322182508118,0.24728023970299978,0.115,0.08733247792422089,0.14999225533753324,0.2225,0.18448762755400633,0.2657918879788165,0.0625,0.1425
base,0.4,asch_zhu_unbiased_qd,63.0,144.0,39.0,154.0,400.0,400.0,0.36,0.8425,shared,base,0.36,0.31449710298654476,0.40816643638136574,0.1575,0.1250805930171134,0.19643556579366786,0.0975,0.07214471685094813,0.1305129588317948,0.0625,0.2975
base,0.4,asch_zhu_unbiased_unanimous_confident,31.0,207.0,43.0,119.0,400.0,400.0,0.5175,0.9225,shared,base,0.5175,0.4685967396420818,0.5660703179369293,0.0775,0.05513258958646752,0.10790559172026265,0.1075,0.08079329401678037,0.14167412885396896,0.0625,0.45499999999999996
base,0.4,asch_zhu_unbiased_unanimous_neutral,48.0,193.0,57.0,102.0,400.0,400.0,0.4825,0.88,shared,base,0.4825,0.4339296820630707,0.5314032603579181,0.12,0.09171493428788872,0.1555146725678686,0.1425,0.11163780858819913,0.18016372944057255,0.0625,0.42
base,0.4,asch_zhu_unbiased_unanimous_plain,45.0,240.0,38.0,77.0,400.0,400.0,0.6,0.8875,shared,base,0.6,0.5512581652462732,0.6468393066337906,0.1125,0.0851480200886654,0.14722427637608715,0.095,0.0699962171700798,0.12770902171566156,0.0625,0.5375
base,0.4,asch_zhu_unbiased_unanimous_uncertain,24.0,247.0,18.0,111.0,400.0,400.0,0.6175,0.94,shared,base,0.6175,0.5689683892522508,0.6637961402068244,0.06,0.0406476805246611,0.0877234432030579,0.045,0.028651223384090457,0.07000527956161895,0.0625,0.555
base,0.4,authoritative_bias,82.0,197.0,3.0,118.0,400.0,400.0,0.4925,0.795,shared,base,0.4925,0.4438103957369542,0.5413322938720411,0.205,0.1683322182508118,0.24728023970299978,0.0075,0.0025538429629852373,0.02181610802770022,0.0625,0.43
base,0.4,authority_zhu_unbiased_trust,88.0,150.0,28.0,134.0,400.0,400.0,0.375,0.78,shared,base,0.375,0.32895626254334526,0.42342189760657495,0.22,0.18217324955825856,0.26315382917756264,0.07,0.048871304519740505,0.0993095663959849,0.0625,0.3125
base,0.4,authority_zhu_unbiased_trust_da,82.0,155.0,31.0,132.0,400.0,400.0,0.3875,0.795,shared,base,0.3875,0.3410421691577642,0.43609817497716397,0.205,0.1683322182508118,0.24728023970299978,0.0775,0.05513258958646752,0.10790559172026265,0.0625,0.325
base,0.4,control,107.0,25.0,11.0,257.0,400.0,400.0,0.0625,0.7324999999999999,shared,base,0.0625,0.04268884343581125,0.09063471708890933,0.2675,0.22648167576028763,0.31294170211856387,0.0275,0.015423476078524151,0.04856596928817408,0.0625,0.0
base,0.6,asch_history_5,75.0,217.0,0.0,108.0,400.0,400.0,0.5425,0.8125,shared,base,0.5425,0.49350413540767263,0.5906872901413545,0.1875,0.15228856358904605,0.2286568367857544,0.0,0.0,0.009512640599680667,0.06,0.4825
