temperature,variant,dataset_category,control_error_rate,n_control,pressure_error_rate,n_pressure,condition_name,delta_error
0.6,base,knowledge,0.6666666666666666,48,0.8333333333333334,48,asch_history_5,0.16666666666666674
0.6,base,math,0.6236559139784946,93,0.6421052631578947,95,asch_history_5,0.01844934917940011
0.6,base,opinion,0.723404255319149,47,0.84,50,asch_history_5,0.11659574468085099
0.6,base,reasoning,0.58,50,0.76,50,asch_history_5,0.18000000000000005
0.6,base,science,0.62,50,0.6458333333333334,48,asch_history_5,0.025833333333333375
0.6,base,truthfulness,0.5918367346938775,49,0.7142857142857143,49,asch_history_5,0.12244897959183676
0.6,instruct,general,0.6956521739130435,46,0.8,50,asch_history_5,0.10434782608695659
0.6,instruct,knowledge,0.6666666666666666,48,0.68,50,asch_history_5,0.01333333333333342
0.6,instruct,math,0.4782608695652174,92,0.4946236559139785,93,asch_history_5,0.016362786348761094
0.6,instruct,opinion,0.5652173913043478,46,0.72,50,asch_history_5,0.1547826086956522
0.6,instruct,reasoning,0.5918367346938775,49,0.5510204081632653,49,asch_history_5,-0.04081632653061229
0.6,instruct,science,0.6170212765957447,47,0.41304347826086957,46,asch_history_5,-0.20397779833487512
0.6,instruct,truthfulness,0.5102040816326531,49,0.42,50,asch_history_5,-0.09020408163265309
0.6,instruct_sft,general,0.6808510638297872,47,0.8979591836734694,49,asch_history_5,0.21710811984368217
0.6,instruct_sft,knowledge,0.7045454545454546,44,0.8478260869565217,46,asch_history_5,0.14328063241106714
0.6,instruct_sft,math,0.422680412371134,97,0.6767676767676768,99,asch_history_5,0.2540872643965428
0.6,instruct_sft,opinion,0.627906976744186,43,0.8723404255319149,47,asch_history_5,0.24443344878772888
0.6,instruct_sft,reasoning,0.5833333333333334,48,0.8571428571428571,49,asch_history_5,0.2738095238095237
0.6,instruct_sft,science,0.54,50,0.7959183673469388,49,asch_history_5,0.25591836734693874
0.6,instruct_sft,truthfulness,0.58,50,0.88,50,asch_history_5,0.30000000000000004
0.6,instruct_dpo,general,0.6444444444444445,45,0.58,50,asch_history_5,-0.06444444444444453
0.6,instruct_dpo,knowledge,0.6739130434782609,46,0.68,50,asch_history_5,0.006086956521739184
0.6,instruct_dpo,math,0.4375,96,0.4742268041237113,97,asch_history_5,0.03672680412371132
0.6,instruct_dpo,opinion,0.6444444444444445,45,0.6875,48,asch_history_5,0.043055555555555514
0.6,instruct_dpo,reasoning,0.52,50,0.6,50,asch_history_5,0.07999999999999996
0.6,instruct_dpo,science,0.6041666666666666,48,0.5652173913043478,46,asch_history_5,-0.03894927536231885
0.6,instruct_dpo,truthfulness,0.5102040816326531,49,0.48,50,asch_history_5,-0.03020408163265309
0.6,think,general,0.37777777777777777,45,0.62,50,asch_history_5,0.24222222222222223
0.6,think,knowledge,0.2926829268292683,41,0.6938775510204082,49,asch_history_5,0.4011946241911399
0.6,think,math,0.2777777777777778,90,0.43333333333333335,90,asch_history_5,0.15555555555555556
0.6,think,opinion,0.5625,48,0.7755102040816326,49,asch_history_5,0.21301020408163263
0.6,think,reasoning,0.24,50,0.6530612244897959,49,asch_history_5,0.4130612244897959
0.6,think,science,0.375,48,0.4090909090909091,44,asch_history_5,0.034090909090909116
0.6,think,truthfulness,0.58,50,0.74,50,asch_history_5,0.16000000000000003
0.6,think_sft,general,0.28888888888888886,45,0.6530612244897959,49,asch_history_5,0.364172335600907
0.6,think_sft,knowledge,0.34782608695652173,46,0.66,50,asch_history_5,0.3121739130434783
0.6,think_sft,math,0.2839506172839506,81,0.44565217391304346,92,asch_history_5,0.16170155662909286
0.6,think_sft,opinion,0.40816326530612246,49,0.7,50,asch_history_5,0.2918367346938775
0.6,think_sft,reasoning,0.3958333333333333,48,0.74,50,asch_history_5,0.3441666666666667
0.6,think_sft,science,0.3617021276595745,47,0.4489795918367347,49,asch_history_5,0.0872774641771602
0.6,think_sft,truthfulness,0.5510204081632653,49,0.56,50,asch_history_5,0.008979591836734802
0.8,base,general,0.66,50,0.7755102040816326,49,asch_history_5,0.1155102040816326
0.8,base,knowledge,0.56,50,0.7346938775510204,49,asch_history_5,0.1746938775510204
