db_path,experiment_group,model_id,variant,temperature,condition_name,n_rows,n_judged,item_count,median_raw_text_len,max_raw_text_len,judge_prompt_version,judge_model
runs/20260327_224413_c07ede3a-16ac-4b47-ac42-4f6ad8dd8370/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.0,authoritative_bias,400,400,400,523,3132,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224413_c07ede3a-16ac-4b47-ac42-4f6ad8dd8370/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.0,authority_trust,400,400,400,267,2499,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224413_c07ede3a-16ac-4b47-ac42-4f6ad8dd8370/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.0,control,400,400,400,230,2828,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224422_eb63d212-77fe-46ef-965b-7777cc232f1f/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.6,asch_zhu_unanimous_confident,400,400,400,95,1788,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224422_eb63d212-77fe-46ef-965b-7777cc232f1f/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.6,authoritative_bias,400,400,400,522,2534,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224422_eb63d212-77fe-46ef-965b-7777cc232f1f/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.6,authority_trust,400,400,400,275,2851,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224422_eb63d212-77fe-46ef-965b-7777cc232f1f/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.6,control,400,400,400,230,2738,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224552_66765d5e-204c-4074-aaf4-b9c148fe61a5/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.0,asch_zhu_unanimous_confident,400,400,400,1996,338043,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224552_66765d5e-204c-4074-aaf4-b9c148fe61a5/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.0,authoritative_bias,400,400,400,4191,371214,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224552_66765d5e-204c-4074-aaf4-b9c148fe61a5/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.0,authority_trust,400,400,400,2651,359655,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224552_66765d5e-204c-4074-aaf4-b9c148fe61a5/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.0,control,400,400,400,1572,388459,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224603_3ecdc9b7-49db-4625-b90e-fc3745b9224e/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.6,asch_zhu_unanimous_confident,400,400,400,2419,102578,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224603_3ecdc9b7-49db-4625-b90e-fc3745b9224e/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.6,authoritative_bias,400,400,400,3985,278857,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224603_3ecdc9b7-49db-4625-b90e-fc3745b9224e/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.6,authority_trust,400,400,400,2366,44430,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224603_3ecdc9b7-49db-4625-b90e-fc3745b9224e/simulation.db,cross_family_main,openai/gpt-oss-20b,gpt_oss_20b,0.6,control,400,400,400,1698,109265,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211511_5be5ada7-64be-4cbd-9024-aacbcaf233e3/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.0,asch_zhu_unanimous_confident,400,400,400,2136,22985,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211511_5be5ada7-64be-4cbd-9024-aacbcaf233e3/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.0,authoritative_bias,400,400,400,2442,23227,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211511_5be5ada7-64be-4cbd-9024-aacbcaf233e3/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.0,authority_trust,400,400,400,1968,21499,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211511_5be5ada7-64be-4cbd-9024-aacbcaf233e3/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.0,control,400,400,400,1645,18155,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211518_21556460-5f97-4a23-8c54-4a1f999ba619/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.6,asch_zhu_unanimous_confident,400,400,400,2045,25657,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211518_21556460-5f97-4a23-8c54-4a1f999ba619/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.6,authoritative_bias,400,400,400,2451,24394,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211518_21556460-5f97-4a23-8c54-4a1f999ba619/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.6,authority_trust,400,400,400,1992,22083,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_211518_21556460-5f97-4a23-8c54-4a1f999ba619/simulation.db,cross_family_main,anthropic/claude-sonnet-4,claude_sonnet_4,0.6,control,400,400,400,1620,16708,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_235403_e8a90500-25cd-469f-a138-197c338fddaf/simulation.db,ablation_system_prompt_removed,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,asch_zhu_naked_unanimous_confident,400,400,400,299,3995,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_235403_e8a90500-25cd-469f-a138-197c338fddaf/simulation.db,ablation_system_prompt_removed,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,ngram_sequence_baseline,400,400,400,272,81882,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_235408_ef72529e-5e82-463f-8b8b-b2a6c7decd3c/simulation.db,ablation_system_prompt_removed,allenai/olmo-3.1-32b-instruct,instruct_32b,0.0,asch_zhu_naked_unanimous_confident,400,400,400,505,20062,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260329_235408_ef72529e-5e82-463f-8b8b-b2a6c7decd3c/simulation.db,ablation_system_prompt_removed,allenai/olmo-3.1-32b-instruct,instruct_32b,0.0,ngram_sequence_baseline,400,400,400,821,29598,2026-03-27_openrouter_v1,openai/gpt-oss-20b
