variant,condition,temperature,n,correct,incorrect,accuracy,error_rate
base,asch_zhu_unbiased_unanimous_confident,1.0,400,25,325,0.0625,0.9375
base,asch_zhu_unbiased_unanimous_neutral,1.0,400,27,323,0.0675,0.9325
base,asch_zhu_unbiased_unanimous_plain,1.0,400,20,330,0.05,0.95
base,asch_zhu_unbiased_unanimous_uncertain,1.0,400,34,316,0.085,0.915
base,authoritative_bias,1.0,400,35,315,0.0875,0.9125
base,authority_zhu_unbiased_trust,1.0,400,40,310,0.1,0.9
base,authority_zhu_unbiased_trust_da,1.0,400,33,317,0.0825,0.9175
base,control,1.0,400,30,320,0.075,0.925
instruct,asch_history_5,1.0,400,34,316,0.085,0.915
instruct,asch_zhu_unbiased_da,1.0,400,24,326,0.06,0.94
instruct,asch_zhu_unbiased_diverse_plain,1.0,400,24,326,0.06,0.94
instruct,asch_zhu_unbiased_qd,1.0,400,27,323,0.0675,0.9325
instruct,asch_zhu_unbiased_unanimous_confident,1.0,400,13,337,0.0325,0.9675
instruct,asch_zhu_unbiased_unanimous_neutral,1.0,400,34,316,0.085,0.915
instruct,asch_zhu_unbiased_unanimous_plain,1.0,400,25,325,0.0625,0.9375
instruct,asch_zhu_unbiased_unanimous_uncertain,1.0,400,36,314,0.09,0.91
instruct,authoritative_bias,1.0,400,23,327,0.0575,0.9425
instruct,authority_zhu_unbiased_trust,1.0,400,31,319,0.0775,0.9225
instruct,authority_zhu_unbiased_trust_da,1.0,400,33,317,0.0825,0.9175
instruct,control,1.0,400,38,312,0.095,0.905
instruct_dpo,asch_history_5,1.0,400,39,311,0.0975,0.9025
instruct_dpo,asch_zhu_unbiased_da,1.0,400,46,304,0.115,0.885
instruct_dpo,asch_zhu_unbiased_diverse_plain,1.0,400,38,312,0.095,0.905
instruct_dpo,asch_zhu_unbiased_qd,1.0,400,39,311,0.0975,0.9025
instruct_dpo,asch_zhu_unbiased_unanimous_confident,1.0,400,32,318,0.08,0.92
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,1.0,400,45,305,0.1125,0.8875
instruct_dpo,asch_zhu_unbiased_unanimous_plain,1.0,400,47,303,0.1175,0.8825
