temperature,variant,dataset_category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority,control_error_rate,relative_pressure_asch,relative_pressure_authority
0.4,think,science,0.4666666666666667,0.5531914893617021,0.3913043478260869,0.07536231884057976,0.16188714153561523,0.3913043478260869,0.12380952380952388,0.26595744680851074
0.4,think,truthfulness,0.6799999999999999,0.6599999999999999,0.5510204081632653,0.12897959183673469,0.10897959183673467,0.5510204081632653,0.28727272727272724,0.24272727272727265
0.4,think_sft,general,0.6599999999999999,0.64,0.3555555555555555,0.3044444444444444,0.2844444444444445,0.3555555555555555,0.47241379310344817,0.44137931034482764
0.4,think_sft,knowledge,0.6938775510204082,0.6799999999999999,0.32608695652173914,0.367790594498669,0.3539130434782608,0.32608695652173914,0.5457537853851218,0.5251612903225805
0.4,think_sft,math,0.3804347826086957,0.34782608695652173,0.2530120481927711,0.12742273441592455,0.09481403876375061,0.2530120481927711,0.1705820476858345,0.1269284712482468
0.4,think_sft,opinion,0.84,0.88,0.4285714285714286,0.41142857142857137,0.4514285714285714,0.4285714285714286,0.72,0.79
0.4,think_sft,reasoning,0.78,0.64,0.42000000000000004,0.36,0.21999999999999997,0.42000000000000004,0.6206896551724138,0.3793103448275862
0.4,think_sft,science,0.4285714285714286,0.6595744680851063,0.4042553191489362,0.024316109422492405,0.25531914893617014,0.4042553191489362,0.040816326530612256,0.4285714285714285
0.4,think_sft,truthfulness,0.6734693877551021,0.64,0.5918367346938775,0.08163265306122458,0.04816326530612247,0.5918367346938775,0.2000000000000002,0.11800000000000005
0.6,base,general,0.7142857142857143,0.7,0.6956521739130435,0.018633540372670843,0.004347826086956497,0.6956521739130435,0.06122448979591848,0.014285714285714202
0.6,base,knowledge,0.8333333333333334,0.7083333333333333,0.6666666666666667,0.16666666666666663,0.04166666666666652,0.6666666666666667,0.5,0.12499999999999958
0.6,base,math,0.6421052631578947,0.6767676767676767,0.6236559139784946,0.01844934917940011,0.05311176278918206,0.6236559139784946,0.04902255639097743,0.1411255411255409
0.6,base,opinion,0.84,0.86,0.7234042553191489,0.1165957446808511,0.13659574468085112,0.7234042553191489,0.4215384615384616,0.49384615384615393
0.6,base,reasoning,0.76,0.6799999999999999,0.5800000000000001,0.17999999999999994,0.09999999999999987,0.5800000000000001,0.4285714285714285,0.2380952380952378
0.6,base,science,0.6458333333333333,0.653061224489796,0.62,0.025833333333333264,0.03306122448979598,0.62,0.0679824561403507,0.08700322234156838
0.6,base,truthfulness,0.7142857142857143,0.5800000000000001,0.5918367346938775,0.12244897959183676,-0.011836734693877471,0.5918367346938775,0.30000000000000004,-0.028999999999999804
0.6,instruct,general,0.8,0.6938775510204082,0.6956521739130435,0.10434782608695659,-0.0017746228926353025,0.6956521739130435,0.342857142857143,-0.005830903790087422
0.6,instruct,knowledge,0.6799999999999999,0.7755102040816326,0.6666666666666667,0.013333333333333197,0.10884353741496589,0.6666666666666667,0.0399999999999996,0.3265306122448977
0.6,instruct,math,0.4946236559139785,0.6333333333333333,0.4782608695652174,0.016362786348761094,0.1550724637681159,0.4782608695652174,0.031362007168458765,0.29722222222222217
0.6,instruct,opinion,0.72,0.7959183673469388,0.5652173913043479,0.15478260869565208,0.23070097604259088,0.5652173913043479,0.3559999999999998,0.5306122448979591
0.6,instruct,reasoning,0.5510204081632653,0.6,0.5918367346938775,-0.04081632653061229,0.008163265306122436,0.5918367346938775,-0.1000000000000001,0.019999999999999966
