temperature,variant,category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
0.8,instruct,general,0.785,0.83,0.71,0.07500000000000007,0.12
0.8,instruct,knowledge,0.875,0.87,0.865,0.010000000000000009,0.0050000000000000044
0.8,instruct,math,0.735,0.825,0.69,0.04500000000000004,0.135
0.8,instruct,opinion,0.765,0.835,0.735,0.030000000000000027,0.09999999999999998
0.8,instruct,reasoning,0.81,0.835,0.795,0.015000000000000013,0.039999999999999925
0.8,instruct,science,0.835,0.905,0.87,-0.03500000000000003,0.03500000000000003
0.8,instruct,truthfulness,0.975,0.97,0.96,0.015000000000000013,0.010000000000000009
0.8,instruct_dpo,general,0.78,0.86,0.79,-0.010000000000000009,0.06999999999999995
0.8,instruct_dpo,knowledge,0.88,0.935,0.87,0.010000000000000009,0.06500000000000006
0.8,instruct_dpo,math,0.73,0.8375,0.7475,-0.01750000000000007,0.08999999999999997
0.8,instruct_dpo,opinion,0.755,0.835,0.74,0.015000000000000013,0.09499999999999997
0.8,instruct_dpo,reasoning,0.8049999999999999,0.8049999999999999,0.8200000000000001,-0.015000000000000124,-0.015000000000000124
0.8,instruct_dpo,science,0.85,0.885,0.845,0.0050000000000000044,0.040000000000000036
0.8,instruct_dpo,truthfulness,0.985,0.98,0.965,0.020000000000000018,0.015000000000000013
0.8,instruct_sft,general,0.765,0.7050000000000001,0.62,0.14500000000000002,0.08500000000000008
0.8,instruct_sft,knowledge,0.945,0.91,0.86,0.08499999999999996,0.050000000000000044
0.8,instruct_sft,math,0.69,0.62,0.5675,0.12249999999999994,0.05249999999999999
0.8,instruct_sft,opinion,0.965,0.9,0.79,0.17499999999999993,0.10999999999999999
0.8,instruct_sft,reasoning,0.91,0.845,0.8049999999999999,0.1050000000000001,0.040000000000000036
0.8,instruct_sft,science,0.905,0.845,0.845,0.06000000000000005,0.0
0.8,instruct_sft,truthfulness,0.975,0.985,0.965,0.010000000000000009,0.020000000000000018
0.8,think,knowledge,0.9290322580645162,0.9415584415584416,0.9161290322580645,0.012903225806451646,0.02542940930037707
1.0,base,general,0.8049999999999999,0.8,0.795,0.009999999999999898,0.0050000000000000044
1.0,base,knowledge,0.935,0.905,0.91,0.025000000000000022,-0.0050000000000000044
1.0,base,math,0.7075,0.6875,0.6825,0.025000000000000022,0.0050000000000000044
1.0,base,opinion,0.88,0.875,0.9,-0.020000000000000018,-0.025000000000000022
1.0,base,reasoning,0.875,0.855,0.86,0.015000000000000013,-0.0050000000000000044
1.0,base,science,0.89,0.9,0.905,-0.015000000000000013,-0.0050000000000000044
1.0,base,truthfulness,0.99,1.0,0.975,0.015000000000000013,0.025000000000000022
1.0,instruct,general,0.765,0.845,0.74,0.025000000000000022,0.10499999999999998
1.0,instruct,knowledge,0.885,0.935,0.885,0.0,0.050000000000000044
1.0,instruct,math,0.735,0.8375,0.6925,0.04249999999999998,0.14500000000000002
1.0,instruct,opinion,0.79,0.86,0.755,0.03500000000000003,0.10499999999999998
1.0,instruct,reasoning,0.795,0.86,0.8200000000000001,-0.025000000000000022,0.039999999999999925
1.0,instruct,science,0.855,0.91,0.85,0.0050000000000000044,0.06000000000000005
1.0,instruct,truthfulness,0.98,0.985,0.965,0.015000000000000013,0.020000000000000018
1.0,instruct_dpo,general,0.8049999999999999,0.845,0.8,0.004999999999999893,0.04499999999999993
