temperature,variant,dataset_category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
0.6,think_dpo,knowledge,0.5714285714285714,0.6734693877551021,0.31818181818181823,0.25324675324675316,0.3552875695732839
0.6,think_dpo,math,0.30107526881720426,0.3820224719101124,0.2584269662921348,0.04264830252506946,0.12359550561797761
0.6,think_dpo,opinion,0.7,0.7346938775510203,0.4893617021276596,0.21063829787234034,0.24533217542336072
0.6,think_dpo,reasoning,0.6938775510204082,0.5918367346938775,0.326530612244898,0.36734693877551017,0.26530612244897955
0.6,think_dpo,science,0.48,0.4893617021276596,0.4375,0.04249999999999998,0.051861702127659615
0.6,think_dpo,truthfulness,0.62,0.74,0.54,0.07999999999999996,0.19999999999999996
0.8,base,general,0.7755102040816326,0.6666666666666667,0.6599999999999999,0.1155102040816327,0.006666666666666821
0.8,base,knowledge,0.7346938775510203,0.6799999999999999,0.56,0.17469387755102028,0.11999999999999988
0.8,base,math,0.6599999999999999,0.5656565656565656,0.6458333333333333,0.01416666666666666,-0.08017676767676762
0.8,base,opinion,0.74,0.86,0.5918367346938775,0.14816326530612245,0.26816326530612244
0.8,base,reasoning,0.5918367346938775,0.64,0.5833333333333333,0.008503401360544283,0.056666666666666754
