variant,temperature,condition_name,n_denominator,ber_pressure,ber_pressure_lo,ber_pressure_hi,ber_control,ber_ctrl_lo,ber_ctrl_hi,conformity_effect,ce_lo,ce_hi
instruct,0.0,asch_zhu_unbiased_unanimous_plain,400.0,0.235,0.1960903097272598,0.278951389790571,0.07,0.048871304519740505,0.0993095663959849,0.16499999999999998,0.0967807433312749,0.2300800852708305
instruct,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,0.3375,0.29290085318846415,0.3851907550064321,0.07,0.048871304519740505,0.0993095663959849,0.2675,0.19359128679247925,0.33631945048669154
instruct,0.0,authoritative_bias,400.0,0.3175,0.27380100813055436,0.3646711056883291,0.07,0.048871304519740505,0.0993095663959849,0.2475,0.17449144173456946,0.31579980116858863
instruct,0.0,authority_zhu_unbiased_trust,400.0,0.265,0.22413301235879635,0.31033792872305355,0.07,0.048871304519740505,0.0993095663959849,0.195,0.12482344596281145,0.261466624203313
instruct,0.0,authority_zhu_unbiased_trust_da,400.0,0.3125,0.26904080101876354,0.35952643920611665,0.07,0.048871304519740505,0.0993095663959849,0.2425,0.16973123462277864,0.3106551346863762
instruct,0.2,asch_history_5,400.0,0.1925,0.15686042573701753,0.2339898482317861,0.075,0.053037406335715714,0.10504833817401285,0.11750000000000001,0.05181208756300468,0.18095244189607038
instruct,0.2,asch_zhu_unbiased_da,400.0,0.225,0.18680409020181676,0.2684278621280076,0.075,0.053037406335715714,0.10504833817401285,0.15000000000000002,0.08175575202780391,0.2153904557922919
instruct,0.2,asch_zhu_unbiased_diverse_plain,400.0,0.12,0.09171493428788872,0.1555146725678686,0.075,0.053037406335715714,0.10504833817401285,0.045,-0.013333403886124126,0.10247726623215289
instruct,0.2,asch_zhu_unbiased_qd,400.0,0.1575,0.1250805930171134,0.19643556579366786,0.075,0.053037406335715714,0.10504833817401285,0.0825,0.02003225484310056,0.14339815945795215
instruct,0.2,asch_zhu_unbiased_unanimous_confident,400.0,0.53,0.48103525950149856,0.5783939820625206,0.075,0.053037406335715714,0.10504833817401285,0.455,0.3759869213274857,0.5253565757268048
instruct,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,0.485,0.4363980471740593,0.5338873320439311,0.075,0.053037406335715714,0.10504833817401285,0.41,0.33134970900004646,0.4808499257082154
instruct,0.2,asch_zhu_unbiased_unanimous_plain,400.0,0.2325,0.1937657455982035,0.2763235171226257,0.075,0.053037406335715714,0.10504833817401285,0.15750000000000003,0.08871740742419065,0.22328611078691
instruct,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,0.3325,0.28811717839304024,0.3800695562078528,0.075,0.053037406335715714,0.10504833817401285,0.2575,0.1830688402190274,0.32703214987213713
instruct,0.2,authoritative_bias,400.0,0.29,0.24769592405093643,0.3362993850009294,0.075,0.053037406335715714,0.10504833817401285,0.21499999999999997,0.14264758587692358,0.28326197866521363
instruct,0.2,authority_zhu_unbiased_trust,400.0,0.275,0.2335380071267212,0.32074268114313514,0.075,0.053037406335715714,0.10504833817401285,0.2,0.12848966895270836,0.26770527480741946
instruct,0.2,authority_zhu_unbiased_trust_da,400.0,0.3125,0.26904080101876354,0.35952643920611665,0.075,0.053037406335715714,0.10504833817401285,0.2375,0.1639924628447507,0.30648903287040097
instruct,0.4,asch_history_5,400.0,0.195,0.15915003771249597,0.23665267305330928,0.0575,0.038617261729224514,0.08480142520149289,0.1375,0.07434861251100308,0.19803541132408475
instruct,0.4,asch_zhu_unbiased_da,400.0,0.21,0.17293709734247628,0.2525802342053385,0.0575,0.038617261729224514,0.08480142520149289,0.1525,0.08813567214098339,0.21396297247611396
instruct,0.4,asch_zhu_unbiased_diverse_plain,400.0,0.125,0.09611465529837437,0.16101982515138613,0.0575,0.038617261729224514,0.08480142520149289,0.0675,0.011313230096881483,0.12240256342216162
instruct,0.4,asch_zhu_unbiased_qd,400.0,0.14,0.10940912065943276,0.17743998057233734,0.0575,0.038617261729224514,0.08480142520149289,0.08250000000000002,0.024607695457939865,0.1388227188431128
instruct,0.4,asch_zhu_unbiased_unanimous_confident,400.0,0.5175,0.4685967396420818,0.5660703179369293,0.0575,0.038617261729224514,0.08480142520149289,0.45999999999999996,0.3837953144405889,0.5274530562077048
instruct,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,0.485,0.4363980471740593,0.5338873320439311,0.0575,0.038617261729224514,0.08480142520149289,0.4275,0.35159662197256636,0.4952700703147066
instruct,0.4,asch_zhu_unbiased_unanimous_plain,400.0,0.2325,0.1937657455982035,0.2763235171226257,0.0575,0.038617261729224514,0.08480142520149289,0.17500000000000002,0.10896432039671061,0.23770625539340118
instruct,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,0.35,0.304884853065619,0.39796893911428516,0.0575,0.038617261729224514,0.08480142520149289,0.2925,0.22008342786412613,0.35935167738506063
instruct,0.4,authoritative_bias,400.0,0.2975,0.25479680042016234,0.34405581902270826,0.0575,0.038617261729224514,0.08480142520149289,0.24,0.16999537521866945,0.30543855729348374
