variant,temperature,condition_name,n_denominator,state_B_n,ber,ber_p,ber_lo,ber_hi
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,111.0,0.2775,0.2775,0.23589351571381517,0.3233396093530428
instruct_dpo,0.2,authoritative_bias,400.0,137.0,0.3425,0.3425,0.29769022933249495,0.39030625245640455
instruct_dpo,0.2,authority_zhu_unbiased_trust,400.0,126.0,0.315,0.315,0.27142015327845737,0.36209952374342447
instruct_dpo,0.2,authority_zhu_unbiased_trust_da,400.0,123.0,0.3075,0.3075,0.2642866432019798,0.3543757234288972
instruct_dpo,0.2,control,400.0,26.0,0.065,0.065,0.04474017569726697,0.09353582162445521
instruct_dpo,0.4,asch_history_5,400.0,65.0,0.1625,0.1625,0.1295868626510332,0.2018341697537513
instruct_dpo,0.4,asch_zhu_unbiased_da,400.0,62.0,0.155,0.155,0.12283205544731421,0.19373166656646548
instruct_dpo,0.4,asch_zhu_unbiased_diverse_plain,400.0,34.0,0.085,0.085,0.061462653163424086,0.11643283853431088
instruct_dpo,0.4,asch_zhu_unbiased_qd,400.0,45.0,0.1125,0.1125,0.0851480200886654,0.14722427637608715
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_confident,400.0,153.0,0.3825,0.3825,0.3362038597931757,0.4310316107477493
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,177.0,0.4425,0.4425,0.3946010465039066,0.49149290716505667
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_plain,400.0,65.0,0.1625,0.1625,0.1295868626510332,0.2018341697537513
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,102.0,0.255,0.255,0.21475600851610616,0.2999051853777373
instruct_dpo,0.4,authoritative_bias,400.0,132.0,0.33,0.33,0.285727498574661,0.3775067992292304
instruct_dpo,0.4,authority_zhu_unbiased_trust,400.0,135.0,0.3375,0.3375,0.29290085318846415,0.3851907550064321
instruct_dpo,0.4,authority_zhu_unbiased_trust_da,400.0,127.0,0.3175,0.3175,0.27380100813055436,0.3646711056883291
instruct_dpo,0.4,control,400.0,22.0,0.055,0.055,0.036598221864059276,0.08186802826965653
instruct_dpo,0.6,asch_history_5,400.0,64.0,0.16,0.16,0.12733221459300603,0.19913638101477682
instruct_dpo,0.6,asch_zhu_unbiased_da,400.0,63.0,0.1575,0.1575,0.1250805930171134,0.19643556579366786
instruct_dpo,0.6,asch_zhu_unbiased_diverse_plain,400.0,41.0,0.1025,0.1025,0.07645843910823481,0.13610411016851132
instruct_dpo,0.6,asch_zhu_unbiased_qd,400.0,48.0,0.12,0.12,0.09171493428788872,0.1555146725678686
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400.0,143.0,0.3575,0.3575,0.3120919798753237,0.40561912269558525
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,176.0,0.44,0.44,0.3921534019514147,0.48898811492054695
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_plain,400.0,75.0,0.1875,0.1875,0.15228856358904605,0.2286568367857544
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,112.0,0.28,0.28,0.23825069981202085,0.32593486205183864
instruct_dpo,0.6,authoritative_bias,400.0,124.0,0.31,0.31,0.26666296102378073,0.35695184240409794
instruct_dpo,0.6,authority_zhu_unbiased_trust,400.0,140.0,0.35,0.35,0.304884853065619,0.39796893911428516
instruct_dpo,0.6,authority_zhu_unbiased_trust_da,400.0,120.0,0.3,0.3,0.2571669255289339,0.34663813071093835
instruct_dpo,0.6,control,400.0,21.0,0.0525,0.0525,0.03459126500804263,0.07892254832867157
instruct_dpo,0.8,asch_history_5,400.0,72.0,0.18,0.18,0.1454497374118191,0.22063835257197656
instruct_dpo,0.8,asch_zhu_unbiased_da,400.0,56.0,0.14,0.14,0.10940912065943276,0.17743998057233734
instruct_dpo,0.8,asch_zhu_unbiased_diverse_plain,400.0,37.0,0.0925,0.0925,0.06785354688500786,0.12489925520373191
instruct_dpo,0.8,asch_zhu_unbiased_qd,400.0,49.0,0.1225,0.1225,0.09391269296642377,0.15826935068633516
